AGO,2018,51.3
ALB,2017,33.2
ARE,2014,32.5
ARG,2018,41.4
ARM,2018,34.4
AUS,2014,34.4
AUT,2017,29.7
AZE,2005,26.6
BDI,2013,38.6
BEL,2017,27.4
BEN,2015,47.8
BFA,2014,35.3
BGD,2016,32.4
BGR,2017,40.4
BIH,2011,33
BLR,2018,25.2
BLZ,1999,53.3
BOL,2018,42.2
BRA,2018,53.9
BTN,2017,37.4
BWA,2015,53.3
CAF,2008,56.2
CAN,2013,33.8
CHE,2017,32.7
CHL,2017,44.4
CHN,2016,38.5
CIV,2015,41.5
CMR,2014,46.6
COD,2012,42.1
COG,2011,48.9
COL,2018,50.4
COM,2014,45.3
CPV,2015,42.4
CRI,2018,48
CYP,2017,31.4
CZE,2017,24.9
DEU,2016,31.9
DJI,2017,41.6
DNK,2017,28.7
DOM,2018,43.7
DZA,2011,27.6
ECU,2018,45.4
EGY,2017,31.5
ESP,2017,34.7
EST,2017,30.4
ETH,2015,35
FIN,2017,27.4
FJI,2013,36.7
FRA,2017,31.6
FSM,2013,40.1
GAB,2017,38
GBR,2016,34.8
GEO,2018,36.4
GHA,2016,43.5
GIN,2012,33.7
GMB,2015,35.9
GNB,2010,50.7
GRC,2017,34.4
GTM,2014,48.3
GUY,1998,44.6
HND,2018,52.1
HRV,2017,30.4
HTI,2012,41.1
HUN,2017,30.6
IDN,2018,39
IND,2011,37.8
IRL,2016,32.8
IRN,2017,40.8
IRQ,2012,29.5
ISL,2015,26.8
ISR,2016,39
ITA,2017,35.9
JAM,2004,45.5
JOR,2010,33.7
JPN,2013,32.9
KAZ,2017,27.5
KEN,2015,40.8
KGZ,2018,27.7
KIR,2006,37
KOR,2012,31.6
LAO,2012,36.4
LBN,2011,31.8
LBR,2016,35.3
LCA,2016,51.2
LKA,2016,39.8
LSO,2017,44.9
LTU,2017,37.3
LUX,2017,34.9
LVA,2017,35.6
MAR,2013,39.5
MDA,2018,25.7
MDG,2012,42.6
MDV,2016,31.3
MEX,2018,45.4
MKD,2017,34.2
MLI,2009,33
MLT,2017,29.2
MMR,2017,30.7
MNE,2015,39
MNG,2018,32.7
MOZ,2014,54
MRT,2014,32.6
MUS,2017,36.8
MWI,2016,44.7
MYS,2015,41
NAM,2015,59.1
NER,2014,34.3
NGA,2009,43
NIC,2014,46.2
NLD,2017,28.5
NOR,2017,27
NPL,2010,32.8
PAK,2015,33.5
PAN,2018,49.2
PER,2018,42.8
PHL,2015,44.4
PNG,2009,41.9
POL,2017,29.7
PRT,2017,33.8
PRY,2018,46.2
PSE,2016,33.7
ROU,2017,36
RUS,2018,37.5
RWA,2016,43.7
SDN,2014,34.2
SEN,2011,40.3
SLB,2013,37.1
SLE,2018,35.7
SLV,2018,38.6
SRB,2017,36.2
SSD,2009,46.3
STP,2017,56.3
SUR,1999,57.6
SVK,2016,25.2
SVN,2017,24.2
SWE,2017,28.8
SWZ,2016,54.6
SYC,2013,46.8
SYR,2004,35.8
TCD,2011,43.3
TGO,2015,43.1
THA,2018,36.4
TJK,2015,34
TKM,1998,40.8
TLS,2014,28.7
TON,2015,37.6
TTO,1992,40.3
TUN,2015,32.8
TUR,2018,41.9
TUV,2010,39.1
TZA,2017,40.5
UGA,2016,42.8
UKR,2018,26.1
URY,2018,39.7
USA,2016,41.4
UZB,2003,35.3
VEN,2006,46.9
VNM,2018,35.7
VUT,2010,37.6
WSM,2013,38.7
XKX,2017,29
YEM,2014,36.7
ZAF,2014,63
ZMB,2015,57.1
ZWE,2017,44.3
